1,2,3,4,5,6
-0.559,-0.023,0.264,0.007,-5593979.2,1
-0.166,-0.015,0.521,0.053,-451516.4,1
0.129,0.011,1.194,0.034,2831702.2,1
0.145,0.011,1.203,0.026,84455.9,1
0.316,0.036,1.78,0.065,4074829.7,1
0.015,0.002,1.048,0.029,3711.5,1
0.47,0.045,1.898,0.056,25305937.8,1
0.019,0.006,1.067,0.051,5011.6,1
0.123,0.015,1.291,0.058,364732.9,1
0.013,0.005,1.058,0.04,2645.2,1
0.17,0.02,1.361,0.071,531227.4,1
0.082,0.007,1.175,0.038,34544.6,1
0.0,0.0,1.0,0.047,52.6,1
0.263,0.031,1.192,0.197,333047.7,1
0.003,0.001,1.01,0.06,3331.2,1
0.117,0.012,1.197,0.043,101180.3,1
0.1,0.008,1.168,0.043,314541.3,1
0.076,0.019,1.401,0.048,62435.4,1
0.271,0.033,1.549,0.09,2633794.1,1
0.073,0.022,1.411,0.067,44086.7,1
0.027,0.002,1.041,0.011,24080.2,1
0.17,0.029,1.325,0.01,32527.8,1
-0.386,-0.211,0.167,0.056,-98869.2,1
0.01,0.003,1.042,0.053,4313.9,1
0.162,0.018,1.355,0.046,1310039.8,1
0.241,0.028,1.173,0.329,225073.5,1
0.002,0.0,0.989,0.018,659.3,1
0.005,0.001,1.01,0.028,1244.9,1
-0.107,-0.024,0.718,0.039,-184167.3,1
0.152,0.018,1.447,0.048,927294.4,1
0.106,0.034,1.451,0.054,37943.7,1
0.022,0.003,1.056,-0.016,4753.4,-1
-0.152,-0.041,0.785,0.108,-36609.4,1
0.146,0.014,1.254,0.041,42286.7,1
0.303,0.052,1.326,0.025,111274.1,1
0.244,0.017,1.16,0.07,637249.6,1
-0.127,-0.031,0.742,0.081,-29626.7,1
0.019,0.003,1.049,0.05,12471.1,1
0.172,0.015,1.206,0.032,252359.7,1
0.125,0.011,1.128,0.052,1209665.9,1
0.063,0.004,1.145,0.02,542762.3,1
0.083,0.009,1.123,0.059,28048.4,1
0.065,0.011,1.28,0.047,40178.4,1
0.029,0.006,1.092,0.061,10523.0,1
0.096,0.031,2.534,0.045,378197.8,1
0.181,0.028,1.654,0.061,1733722.3,1
0.53,0.048,5.121,0.048,1332446.1,1
0.143,0.02,1.745,0.047,542192.6,1
0.099,0.014,1.712,0.049,932507.5,1
0.145,0.009,1.165,0.041,149379.4,1
0.001,0.0,1.006,0.047,142.8,1
-0.122,-0.047,0.497,0.041,-21074.2,1
0.059,0.008,1.062,0.066,35230.1,1
0.003,0.0,1.002,0.127,1122.8,1
0.168,0.02,1.132,0.02,55730.1,1
0.066,0.029,1.555,0.082,27725.1,1
0.045,0.01,1.203,0.055,20305.3,1
0.058,0.007,1.069,0.028,13517.3,1
0.032,0.005,1.131,0.033,10141.1,1
0.218,0.02,1.19,0.054,110394.9,1
0.002,0.0,1.007,0.048,596.0,1
0.017,0.002,1.025,0.047,7163.3,1
0.033,0.002,1.021,0.036,10511.6,1
0.04,0.015,1.071,0.079,21707.2,1
0.105,0.048,1.394,0.136,29801.5,1
0.004,0.0,1.045,0.021,1301.8,1
0.051,0.01,1.499,0.025,32950.6,1
0.097,0.005,1.127,0.018,22011.6,1
-0.036,-0.03,0.834,0.117,-7470.0,1
0.042,0.005,1.135,0.041,10260.2,1
0.008,0.005,1.066,0.068,2066.0,1
0.009,0.006,1.062,0.149,1928.6,1
0.044,0.004,1.075,0.043,12845.6,1
0.164,0.018,1.193,0.025,41931.4,1
